,id,name,author,title,description,url,urlToImage,publishedAt,content
0,,Tecnoblog.net,Carlos Cardoso,"Maureen Flavin, a jovem que adiou o Dia D","O Dia D, 6 de Junho de 1944 quase foi um desastre, se acontecesse na data original, dois dias antes, Hitler teria vencido. 
Maureen Flavin, a jovem que adiou o Dia D",https://tecnoblog.net/meiobit/458583/maureen-flavin-a-jovem-que-adiou-o-dia-d/,https://files.tecnoblog.net/meiobit/wp-content/uploads/2022/06/85413.jpg,2022-06-17T22:55:42Z,"663 anos antes do Somente no Dia D, 663 anos no futuro, o mundo veria uma invasÃ£o semelhante, mas no ano de 1281 o JapÃ£o nÃ£o pensava em nada alÃ©m da inevitÃ¡vel derrota nas mÃ£os do ImpÃ©rio Mong… [+5635 chars]"
1,,Tecnoblog.net,Carlos Cardoso,"Mira Norden, o mais avançado e secreto projeto da 2ª Guerra Mundial","A Mira Norden foi um equipamento revolucionário que prometia uma precisão nunca vista nos ataques aéreos. Infelizmente, não deu certo.
Mira Norden, o mais avançado e secreto projeto da 2ª Guerra Mundial",https://tecnoblog.net/meiobit/458738/mira-norden-o-mais-avancado-e-secreto-projeto-da-2a-guerra-mundial/,https://files.tecnoblog.net/meiobit/wp-content/uploads/2022/06/Lancaster_FM136_nose_art__Lady_Orchid__at_Aero_Space_Museum_of_Calgary_Flickr_6201758065.jpg,2022-06-30T22:35:11Z,"A Mira Norden prometia na Segunda Guerra o que quem acompanha guerra pela TV ou Internet jÃ¡ se acostumou a ver:Â  bombas entrando em janelas, prÃ©dios bombardeados com precisÃ£o enquanto os edifÃ­ci… [+7072 chars]"
2,,Papelpop.com,Catharina Dourado,“Made For Love” é cancelada pela HBO Max após duas temporadas,"Após duas temporadas, “Made For Love” chegou ao fim. A HBO Max anunciou na tarde desta sexta-feira (10) o cancelamento da série estrelada por Cristin Milioti e Billy Magnussen. “Estamos tremendamente gratos pela jornada espetacular dessas duas últimas tempora…",https://www.papelpop.com/2022/06/made-for-love-e-cancelada-pela-hbo-max-apos-duas-temporadas/,https://assets.papelpop.com/wp-content/uploads/2022/06/made-for-love.jpg,2022-06-10T20:55:11Z,"Após duas temporadas, Made For Love chegou ao fim. A HBO Max anunciou na tarde desta sexta-feira (10) o cancelamento da série estrelada por Cristin Milioti e Billy Magnussen.
Estamos tremendamente g… [+926 chars]"
3,,Archdaily.com.br,Maria-Cristina Florian,Kimberly Dowdell é eleita a primeira presidente negra do American Institute of Architects,"O American Institute of Architects elegeu Kimberly Dowdell como a 100ª presidente da organização, tornando-a a primeira mulher negra a ocupar o cargo nos 165 anos de história do AIA. Os membros votaram em Dowdell para ser vice em 2023 e, posteriormente, presi…",https://www.archdaily.com.br/br/984186/kimberly-dowdell-e-eleita-a-primeira-presidente-negra-do-american-institute-of-architects,https://images.adsttc.com/media/images/62b0/f6f6/3e4b/3148/ba00/0001/large_jpg/mreonv8jofp5ph99yjnz.jpg.pagespeed.ce.xPnT0MWUVC.jpg?1655764717,2022-06-30T18:00:00Z,"AIA'S 2024 President-elect Kimberly Dowdell. Image Courtesy of Kimberly N. Dowdell
O American Institute of Architects elegeu Kimberly Dowdell como a 100ª presidente da organização, tornando-a a prim… [+2232 chars]"
4,,Archdaily.com.br,John J. Parman,Está na hora dos arquitetos americanos se sindicalizarem?,"Os sindicatos são uma tendência entre os jovens com formação universitária, relata o New York Times. Eles buscam união para conseguir as mudanças desejadas.",https://www.archdaily.com.br/br/982770/esta-na-hora-dos-arquitetos-americanos-se-sindicalizarem,https://images.adsttc.com/media/images/6290/690a/3e4b/3182/3f00/0002/large_jpg/Antoine_Bonnafous.jpg?1653631235,2022-06-03T18:00:00Z,"Lagence Office / jaq. Imagem © Antoine Bonnafous
Este artigo foi publicado originalmente na Common Edge.
Movimentos sindicais têm sido uma tendência entre os jovens com formação universitária nos E… [+10101 chars]"
5,,Zankyou.com.br,Ana Paula Graça,Precisando de ajuda para escolher o cenário do casamento? Descubra aqui lindas opções para o seu grande dia!,Selecionamos espaços para casar com diversos estilos e em vários cantos do país para vocês encontrarem um do jeitinho que sempre sonharam!,https://www.zankyou.com.br/p/precisando-de-ajuda-para-escolher-o-cenario-do-casamento-descubra-aqui-lindas-opcoes-para-o-seu-grande-dia,https://asset1.zankyou.com/images/mag-card-t/b0c/e906/600/314/-/br/wp-content/uploads/2021/06/casa-quena-4.jpg,2022-06-12T15:30:15Z,"Em Búzios (RJ), um dos balneários preferidos dos noivos de todo país, encontra-se a Seaside Paradise, uma mansão com estilo contemporâneo espanhol de frente para o mar da Praia Rasa. São 1000 metros … [+4622 chars]"
6,,Ouniversodatv.com,Anderson Ramos,"Da Turquia às Filipinas, ''Jornadas Culinárias'' revela segredos de pratos típicos","Divulgação O '' Jornadas Culinárias '' deste sábado, 04 de junho (21h45), apresenta dois chefs com trajetórias muito diferen...",https://www.ouniversodatv.com/2022/06/da-turquia-as-filipinas-jornadas.html,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiTHfit5x8yBk7_V6VOKHc_jmIwPPpcIt-EsuqNox3vbd_p7ZX2ipfT0xSAgLdWa1oZs7jGS38sxf7LjVn76dWKsdiIAd5qmhwQxid7eez30d7GW8pS4kAZB2uA_DAuB4POtCf7cwMhXf4egVEdO6Az-FKjOz-_MS2_Kbq01VlQ4biQVAr_CGc4U10ffA/w640-h450/unnamed%20-%202022-06-02T225738.439.jpg,2022-06-03T01:58:00Z,"<table><tr><td></td></tr><tr><td>Divulgação</td></tr>
</table>O ''Jornadas Culinárias'' deste sábado, 04 de junho (21h45), apresenta dois chefs com trajetórias muito diferentes e dois destinos basta… [+1095 chars]"
