,id,name,author,title,description,url,urlToImage,publishedAt,content
0,,DW (English),Nádia Pontes,"Isolado, Brasil perde credibilidade em cúpula ambiental de Estocolmo","De protagonista na diplomacia climática a pária internacional, país aprofunda isolamento em reedição da histórica conferência de meio ambiente de 1972, na capital sueca.",https://www.dw.com/pt-br/isolado-brasil-perde-credibilidade-em-c%C3%BApula-ambiental-de-estocolmo/a-62009781,https://static.dw.com/image/59871392_6.jpg,2022-06-02T10:58:00Z,"Cinco décadas após sediar a primeira reunião da história sobre meio ambiente e inserir o tema no mundo diplomático, Estocolmo volta a ser palco de discussões a partir desta quinta-feira (02/06), sob … [+7533 chars]"
1,,DW (English),Nádia Pontes,Brasil chega sem credibilidade à cúpula ambiental de Estocolmo,"De protagonista na diplomacia ambiental a pária internacional, país aprofunda isolamento em reedição da histórica conferência de meio ambiente de 1972, na capital sueca.",https://www.dw.com/pt-br/brasil-chega-sem-credibilidade-%C3%A0-c%C3%BApula-ambiental-de-estocolmo/a-62009781,https://static.dw.com/image/59871392_6.jpg,2022-06-02T10:58:00Z,"Cinco décadas após sediar a primeira reunião da história sobre meio ambiente e inserir o tema no mundo diplomático, Estocolmo volta a ser palco de discussões a partir desta quinta-feira (02/06), sob … [+7680 chars]"
2,,Climatempo.com.br,Climatempo,Amazônia tem maior número de incêndios em maio desde 2004,"Segundo Inpe, maior floresta tropical do mundo teve 2.287 focos de incêndio em maio, maior número para o mês em 18 anos",https://www.climatempo.com.br/noticia/2022/06/02/amazonia-tem-maior-numero-de-incendios-em-maio-desde-2004-5659,https://p2.trrsf.com/image/fget/cf/1200/630/middle/images.terra.com/2022/06/02/1204153653-6de3ebda9ca88d6f830c6f7fd2394428.jpg,2022-06-02T20:15:23Z,"A Amazônia brasileira registrou 2.287 focos de incêndios florestais em maio, o maior número para o mês em 18 anos, informou nesta quarta-feira (1º/06) o Instituto Nacional de Pesquisas Espaciais (Inp… [+1826 chars]"
3,,Terra.com.br,Deutsche Welle,"Isolado, Brasil perde credibilidade em cúpula ambiental de Estocolmo","De protagonista na diplomacia climática a pária internacional, país aprofunda isolamento em reedição da histórica conferência de meio ambiente de 1972, na...","https://www.terra.com.br/noticias/ciencia/isolado-brasil-perde-credibilidade-em-cupula-ambiental-de-estocolmo,059ee0edf44ac666e0b80f8acbb8561b681kqexc.html",https://p2.trrsf.com/image/fget/cf/1200/630/middle/images.terra.com/2022/06/02/899645232-59871392354.jpg,2022-06-02T11:17:41Z,"De protagonista na diplomacia climática a pária internacional, país aprofunda isolamento em reedição da histórica conferência de meio ambiente de 1972, na capital sueca.Cinco décadas após sediar a pr… [+7706 chars]"
4,,DW (English),Deutsche Welle,Amazônia tem maior número de incêndios em maio desde 2004,"De acordo com dados do Inpe, maior floresta tropical do mundo teve 2.287 focos de incêndio em maio, o maior número para o mês em 18 anos
O post Amazônia tem maior número de incêndios em maio desde 2004 apareceu primeiro em Metrópoles.",https://www.dw.com/pt-br/amazônia-tem-maior-número-de-incêndios-em-maio-desde-2004/a-62003336?utm_source=Metrópoles&#038;utm_medium=link&#038;utm_campaign=Metrópoles,https://uploads.metropoles.com/wp-content/uploads/2022/06/02102509/55206860_1005.jpg,2022-06-02T13:50:48Z,"A Amazônia brasileira registrou 2.287 focos de incêndios florestais em maio, o maior número para o mês em 18 anos, informou nesta quarta-feira (1º/6) o Instituto Nacional de Pesquisas Espaciais (Inpe… [+3735 chars]"
5,,Metropoles.com,Mariah Aquino,Ministério da Saúde pretende monitorar situação de estados após chuvas,"Estados do Nordeste são castigados com fortes chuvas há, pelo menos, uma semana. Em Pernambuco, 126 mortos já foram identificados
O post Ministério da Saúde pretende monitorar situação de estados após chuvas apareceu primeiro em Metrópoles.",https://www.metropoles.com/brasil/ministerio-da-saude-pretende-monitorar-situacao-de-estados-apos-chuvas,https://uploads.metropoles.com/wp-content/uploads/2022/06/02164158/bombeiros-pernambuco-deslizamento.jpg,2022-06-02T20:00:34Z,"O Ministério da Saúde anunciou, nesta quinta-feira (2/6), uma sala de situação para acompanhar os estados de Alagoas, Paraíba e Pernambuco, afligidos por fortes chuvas na última semana.
O número de … [+1599 chars]"
