,id,name,author,title,description,url,urlToImage,publishedAt,content
0,,Observador.pt,Alfredo Lavrador,Revuelto. O eléctrico da Lamborghini já tem nome,"A Lamborghini foi apanhada a registar um novo modelo. O Revuelto, assim se chama a próxima criação da marca italiana, tem tudo para ser o seu primeiro desportivo 100% eléctrico, agendado para 2025.",https://observador.pt/2022/06/04/revuelto-o-electrico-da-lamborghini-ja-tem-nome/,https://wm.observador.pt/wm/obs/l/https%3A%2F%2Fbordalo.observador.pt%2Fv2%2Frs%3Afill%3A770%3A403%2Fc%3A1920%3A1079%3Anowe%3A0%3A100%2Fq%3A85%2Fplain%2Fhttps%3A%2F%2Fs3.observador.pt%2Fwp-content%2Fuploads%2F2022%2F06%2F04195204%2F2020-lamborghini-lambo-vision-gran-turismo-concept-35.jpg,2022-06-04T20:57:09Z,"Tem acesso livre a todos os artigos do Observador por ser nosso assinante.
Antes de lançar um novo modelo, todos os fabricantes de automóveis têm de o desenvolver e baptizar, sendo que não há baptis… [+1599 chars]"
1,,Uol.com.br,,Mauricio Stycer,Esta é parte da versão online da edição desta quarta (1) da newsletter do Mauricio Stycer. Na,https://noticias.uol.com.br/colunas/mauricio-stycer/2022/06/02/sob-pressao-ensina-que-a-ficcao-pode-impactar-a-realidade.htm,https://conteudo.imguol.com.br/c/noticias/ee/2022/05/31/marjorie-estiano-carolina-e-julio-andrade-evandro-na-quinta-temporada-de-sob-pressao-1654014382424_v2_615x300.jpg,2022-06-02T16:25:12Z,"Esta é parte da versão online da edição desta quarta (1) da newsletter do Mauricio Stycer. Na newsletter completa, apenas para assinantes, o colunista ainda faz sugestões de leitura. Para receber o b… [+6232 chars]"
2,,Flatout.com.br,Marco Antônio Oliveira,Vida de engenheiro: propriedade intelectual,"“Um homem sábio sempre permitirá que um tolo roube suas ideias sem gritar “Ladrão”. Se ele é sábio, ele não foi empobrecido com o roubo. Nem o tolo foi enriquecido. O ladrão nos lisonjeia roubando. Nós o lisonjeamos reclamando.” – Ben Hecht No início, era fác…",https://flatout.com.br/316028-2/,https://cdn.flatout.com.br/wp-content/uploads/2022/06/2-copiar-1.jpg,2022-06-03T21:13:42Z,"Um homem sábio sempre permitirá que um tolo roube suas ideias sem gritar Ladrão. Se ele é sábio, ele não foi empobrecido com o roubo. Nem o tolo foi enriquecido. O ladrão nos lisonjeia roubando. Nós … [+16273 chars]"
3,,Flatout.com.br,Marco Antônio Oliveira,Vida de engenheiro: propriedade intelectual e o caso dos farois,"“Um homem sábio sempre permitirá que um tolo roube suas ideias sem gritar “Ladrão”. Se ele é sábio, ele não foi empobrecido com o roubo. Nem o tolo foi enriquecido. O ladrão nos lisonjeia roubando. Nós o lisonjeamos reclamando.” – Ben Hecht No início, era fác…",https://flatout.com.br/vida-de-engenheiro-propriedade-intelectual-farois/,https://cdn.flatout.com.br/wp-content/uploads/2022/06/2-copiar-1.jpg,2022-06-03T21:13:42Z,"Um homem sábio sempre permitirá que um tolo roube suas ideias sem gritar Ladrão. Se ele é sábio, ele não foi empobrecido com o roubo. Nem o tolo foi enriquecido. O ladrão nos lisonjeia roubando. Nós … [+16275 chars]"
4,,Flatout.com.br,Leonardo Contesini e Marco Antônio Oliveira,Novo Mustang confirmado com V8 e manual | o Lamborghini “Revuelto” | um Alfa clássico-moderno de 510 cv e mais!,"Bom dia, caros leitores! Bem-vindos ao Zero a 300, a nossa rica mistura das principais notícias automotivas do Brasil e de todo o mundo. Assim, você não fica destracionando por aí atrás do que é importante. Gire a chave, aperte o cinto e acelere conosco. O Ze…",https://flatout.com.br/novo-mustang-lamborghini-revuelto-alfa-restomod/,https://cdn.flatout.com.br/wp-content/uploads/2022/06/0300-030622.jpg,2022-06-03T16:16:49Z,"Bom dia, caros leitores! Bem-vindos ao Zero a 300, a nossa rica mistura das principais notícias automotivas do Brasil e de todo o mundo. Assim, você não fica destracionando por aí atrás do que é impo… [+10175 chars]"
5,globo,Globo,,Royalties musicais e pesquisa científica: os novos tokens da Hurst Capital e da Coinext,"Corretora lança produtos de investimento em direitos creditórios de música e propriedade intelectual de ciência Especializada em investimentos alternativos, a Hurst Capital tem dois grandes projetos de originação de tokens no seu pipeline. Um, em parceria com…",https://valor.globo.com/financas/criptomoedas/noticia/2022/06/03/royalties-musicais-e-pesquisa-cientifica-os-novos-tokens-da-hurst-capital-e-da-coinext.ghtml,https://s2.glbimg.com/p6OX4WRrkq_VVeT6lQnVZyZ-Zvc=/1200x/smart/filters:cover():strip_icc()/i.s3.glbimg.com/v1/AUTH_63b422c2caee4269b8b34177e8876b93/internal_photos/bs/2022/d/N/jeroGWT76rqahXWCBW9g/arthur-foto-nova-2-.png,2022-06-03T03:00:22Z,"Especializada em investimentos alternativos, a Hurst Capital tem dois grandes projetos de originação de tokens no seu pipeline. Um, em parceria com a corretora Coinext, é o lançamento de um token de … [+167 chars]"
6,globo,Globo,,Como a venda de abelhas pela internet pode desencadear um problema ambiental,"Comércio de abelhas, principalmente pelo Mercado Livre, é uma das principais ameaças à conservação de espécies brasileiras “Abelhas jataí, ótimas para polinizar seu jardim, fazemos envios para todo o Brasil”. Anúncios como esse não são raros na internet e, em…",https://valor.globo.com/agronegocios/esg/noticia/2022/06/02/como-a-venda-de-abelhas-pela-internet-pode-desencadear-um-problema-ambiental.ghtml,https://s2.glbimg.com/eEu_zUb99uYe4hYLFVFbtxr7bd8=/1200x/smart/filters:cover():strip_icc()/i.s3.glbimg.com/v1/AUTH_63b422c2caee4269b8b34177e8876b93/internal_photos/bs/2022/O/d/FmuIqcQJqLAlxpWmiZEQ/pexels-skyler-ewing-4592574.jpg,2022-06-02T19:50:45Z,"Abelhas jataí, ótimas para polinizar seu jardim, fazemos envios para todo o Brasil. Anúncios como esse não são raros na internet e, em alguns cliques, é possível adquirir a própria colônia de abelhas… [+6031 chars]"
